UniqueID,include,Site,Region,SID,SpecID,ACE_file,NAU_ACE#,FractionModern,plus/minus,D14C(%0),plus/minus,14Cage(BP),plus/minus,14C_notes,cal age (95% CI) (cal. BP),,med_cal_age,tempID,SpecStatus,Fragmentation,Taxon1,Taxon2,PicIDtop,PickIDback,SamDepth,Long,Lat,Depth,Temp,Salinity,Year,Month,Day,WgSpec,Status,ApicPl,Petals,TubAbr1,TubAbr2,TubAbr3,SurfAbr1,SurfAbr2,SurfAbr3,PoreAbr1,PoreAbr2,PoreAbr3,Frag1,Frag2,Frag3,Frag4,Encrust,Dh,Key
42,1,CK-5,Cedar Key,CK-5-6,28,29C230304GIS,3643.1.1,1.0071,0.007,8.2,7,-65,56,,-10,-65,-63,2-A4,dead,complete,e,juvenile clypeasteroid,CK5-Sp42a,CK5-Sp42o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
43,0,CK-5,Cedar Key,CK-5-6,29,,,,,,,,,,,,,2-A5,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0021,Stored,,,,,,,,,,,,,,,,,,3 = 50-75%
44,0,CK-5,Cedar Key,CK-5-6,30,,,,,,,,,,,,,2-A6,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0031,Stored,,,,,,,,,,,,,,,,,,4 = >75%
45,1,CK-5,Cedar Key,CK-5-6,31,29C230304GIS,3644.1.1,1.001,0.0073,2,7.3,-16,59,,-9,-66,-12,2-B1,dead,complete,e,juvenile clypeasteroid,CK5-Sp45a,CK5-Sp45o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0046,Dated,,,,,,,,,,,,,,,,,,SurfAbr3 = surface abrasion: labyrinthic stereom visible
46,0,CK-5,Cedar Key,CK-5-6,32,,,,,,,,,,,,,2-B2,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0053,Stored,,,,,,,,,,,,,,,,,,1 = <25%
47,0,CK-5,Cedar Key,CK-5-6,33,,,,,,,,,,,,,2-B3,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0026,Stored,,,,,,,,,,,,,,,,,,2 = 25-50%
48,1,CK-5,Cedar Key,CK-5-6,34,29C230111GAS,3319.1.1,0.984,0.0089,-16,9,129,73,,43,-12,-10,2-B4,dead,complete,e,juvenile clypeasteroid,CK5-Sp48a,CK5-Sp48o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0025,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
49,0,CK-5,Cedar Key,CK-5-6,35,,,,,,,,,,,,,2-B5,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Stored,,,,,,,,,,,,,,,,,,4 = >75%
50,0,CK-5,Cedar Key,CK-5-6,36,,,,,,,,,,,,,2-B6,dead,complete,e,juvenile clypeasteroid,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0019,Stored,,,,,,,,,,,,,,,,,,PoreAbr1 = pore abrasion: outline smooth
51,0,CK-5,Cedar Key,CK-5-3,1,,,,,,,,,,,,,A1,live,complete,e,juvenile clypeasteroid,CK5 -Sp51a,CK5-Sp51o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.006,Stored,,,,,,,,,,,,,,,,,,1 = <25%
52,0,CK-5,Cedar Key,CK-5-3,2,,,,,,,,,,,,,A2,live,complete,e,juvenile clypeasteroid,CK5-Sp52a,CK5-Sp52o,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0054,Stored,,,,,,,,,,,,,,,,,,2 = 25-50%
53,1,CK-5,Cedar Key,CK-5-2,13,29C230111GAS,3321.1.1,0.9103,0.0084,-89.7,8.5,755,75,,518,136,348,A1,dead,complete,m,Transenella,CK5-Sp53out,CK5-Sp53in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0099,Dated,,,,,,,,,,,,,,,,,,
54,0,CK-5,Cedar Key,CK-5-2,14,,,,,,,,,,,,,A2,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0128,Stored,,,,,,,,,,,,,,,,,,
55,1,CK-5,Cedar Key,CK-5-2,15,29C230111GAS,3322.1.1,0.9148,0.0085,-85.2,8.5,715,74,,496,95,311,A3,dead,complete,m,Transenella,CK5-Sp55out,CK5-Sp55in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0015,Dated,,,,,,,,,,,,,,,,,,PoreAbr2 = pore abrasion: outline irregular
56,1,CK-5,Cedar Key,CK-5-2,16,29C230111GAS,3323.1.1,0.8931,0.0084,-106.9,8.4,908,76,,644,296,480,A4,dead,complete,m,Transenella,CK5-Sp56out,CK5-Sp56in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.005,Dated,,,,,,,,,,,,,,,,,,1 = <25%
57,0,CK-5,Cedar Key,CK-5-2,17,,,,,,,,,,,,,A5,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0139,Stored,,,,,,,,,,,,,,,,,,2 = 25-50%
58,1,CK-5,Cedar Key,CK-5-2,18,29C230111GAS,3324.1.1,0.9285,0.0086,-71.5,8.7,596,75,,375,-7,186,A6,dead,complete,m,Transenella,CK5-Sp58out,Ck5-Sp58in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0132,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
59,1,CK-5,Cedar Key,CK-5-2,19,29C230111GAS,3325.1.1,0.9015,0.0083,-98.5,8.3,833,74,,607,238,412,B1,dead,complete,m,Transenella,CK5-Sp59out,Ck5-Sp59,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.013,Dated,,,,,,,,,,,,,,,,,,4 = >75%
60,1,CK-5,Cedar Key,CK-5-2,20,29C230111GAS,3326.1.1,0.7736,0.008,-226.4,8,2062,83,,1860,1375,1615,B2,dead,complete,m,Transenella,CK5-Sp60out,CK5-Sp60in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0027,Dated,,,,,,,,,,,,,,,,,,PoreAbr3 = pore abrasion: outline ragged
61,1,CK-5,Cedar Key,CK-5-2,21,29C230111GAS,3327.1.1,0.9965,0.009,-3.5,9,29,72,,-9,-12,-11,B3,dead,complete,m,Transenella,CK5-Sp61out,CK5-Sp61in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0048,Dated,,,,,,,,,,,,,,,,,,1 = <25%
62,1,CK-5,Cedar Key,CK-5-3,1,29C230111GAS,3320.1.1,0.9966,0.009,-3.4,9,28,73,,-9,-12,-11,B1,dead,complete,m,Transenella,CK5-Sp62out,CK5-Sp62in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0017,Dated,,,,,,,,,,,,,,,,,,2 = 25-50%
63,1,CK-5,Cedar Key,CK-5-3,2,29C230304GIS,3645.1.1,0.9932,0.0075,-5.8,7.5,47,61,,-9,-12,-10,B2,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0043,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
64,0,CK-5,Cedar Key,CK-5-3,3,29C230304GIS,3646.1.1,1.2068,0.0081,209.1,8.1,-1525,54,,out of the range of the bomb curve ,,,B3,dead,complete,m,Transenella,CK5-Sp64out,CK5-Sp64in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0053,Dated,,,,,,,,,,,,,,,,,,4 = >75%
65,0,CK-5,Cedar Key,CK-5-3,4,,,,,,,,,,,,,B4,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0025,Stored,,,,,,,,,,,,,,,,,,Frag1 = specimen fragmentation: not fragmented
66,1,CK-5,Cedar Key,CK-5-3,5,29C230111GAS,3328.1.1,0.9405,0.0087,-59.5,8.7,493,74,,268,-8,108,B5,dead,complete,m,Transenella,CK5-Sp66out,CK5-Sp66in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Dated,,,,,,,,,,,,,,,,,,1 = <25%
67,0,CK-5,Cedar Key,CK-5-4,3,,,,,,,,,,,,,A1,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0069,Stored,,,,,,,,,,,,,,,,,,2 = 25-50%
68,1,CK-5,Cedar Key,CK-5-4,4,29C230111GAS,3329.1.1,0.9254,0.0086,-74.6,8.6,623,75,,404,-5,211,A2,dead,complete,m,Transenella,CK5-Sp68out,CK5-Sp68in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0059,Dated,,,,,,,,,,,,,,,,,,3 = 50-75%
69,0,CK-5,Cedar Key,CK-5-4,5,,,,,,,,,,,,,A3,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0058,Stored,,,,,,,,,,,,,,,,,,4 = >75%
70,0,CK-5,Cedar Key,CK-5-6,37,,,,,,,,,,,,,A4,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0097,Stored,,,,,,,,,,,,,,,,,,Frag2 = specimen fragmentation: apical plate
71,0,CK-5,Cedar Key,CK-5-6,38,,,,,,,,,,,,,A5,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.006,Stored,,,,,,,,,,,,,,,,,,0 = absent
72,1,CK-5,Cedar Key,CK-5-6,39,29C230111GAS,3330.1.1,0.9306,0.0086,-69.4,8.6,578,74,,355,-7,170,A6,dead,complete,m,Transenella,CK5-Sp72out,CK5-Sp72in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0039,Dated,,,,,,,,,,,,,,,,,,1 = present
73,0,CK-5,Cedar Key,CK-5-6,40,,,,,,,,,,,,,B1,dead,complete,m,Transenella,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0023,Stored,,,,,,,,,,,,,,,,,,Frag3 = specimen fragmentation: petals
74,1,CK-5,Cedar Key,CK-5-7,1,29C230111GAS,3331.1.1,0.9302,0.0086,-69.8,8.6,581,75,,359,-7,173,C4,dead,complete,m,Transenella,CK5-Sp74out,CK5-Sp74in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0022,Dated,,,,,,,,,,,,,,,,,,0 = absent
75,1,CK-5,Cedar Key,CK-5-7,2,29C230304GIS,3647.1.1,1.0102,0.0079,11.2,7.9,-90,62,,-10,-65,-63,C5,dead,complete,m,Transenella,CK5-Sp75out,CK5-Sp75in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0046,Dated,,,,,,,,,,,,,,,,,,1 = present
76,1,CK-5,Cedar Key,CK-5-7,3,29C230304GIS,3648.1.1,1.012,0.0074,13.1,7.4,-105,58,,-11,-65,-63,C6,dead,complete,m,Transenella,CK5-Sp76out,CK5-Sp76in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.002,Dated,,,,,,,,,,,,,,,,,,Frag3 = specimen fragmentation: oral site
77,0,CK-5,Cedar Key,CK-5-7,4,,,,,,,,,,,,,D1,dead,complete,m,Transenella,,,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0053,Stored,,,,,,,,,,,,,,,,,,0 = absent
78,1,CK-5,Cedar Key,CK-5-7,5,29C230111GAS,3332.1.1,0.5362,0.0103,-463.8,10.3,5007,154,,5644,4863,5286,D2,dead,complete,m,Transenella,CK5-Sp78out,CK5-Sp78in,deep,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.003,Dated,,,,,,,,,,,,,,,,,,1 = present
79,0,CK-5,Cedar Key,CK-5-1,3,29C230111GAS,3333.1.1,1.1989,0.0088,198.9,8.8,-1457,59,,out of the range of the bomb curve ,,,A3,dead,complete,m,Lucinidae,CK5-Sp79out,CK5-Sp79in,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0089,Dated,,,,,,,,,,,,,,,,,,Frag4 = specimen fragmentation: only ambitus present
80,0,CK-5,Cedar Key,CK-5-1,4,,,,,,,,,,,,,A4,dead,complete,m,Lucinidae,,,surface,28.9946,-83.14239,4,29.4,NA,2022,9,22,0.0193,Stored,,,,,,,,,,,,,,,,,,0 = false
